,amplicon,mean,mean+2std,mean-2std,min
2,1-25870470-25870655-PGD139_LDLRAP1_4,0.0213903743315508,0.31153081131988336,-0.2687500626567818,0
545,2-21241753-21241994-PGD139_APOB_98,4.310160427807487,9.402872266797871,-0.7825514111828964,0
141,1-25893462-25893727-PGD139_LDLRAP1_143,21.149732620320854,34.63951966649785,7.65994557414386,2
445,19-45412039-45412313-PGD139_APOE_12,39.16577540106952,98.63978905636485,-20.308238254225813,0
205,1-55513500-55513758-PGD139_PCSK9_53,42.86631016042781,64.89154385819116,20.841076462664457,10
406,19-11226372-11226646-PGD139_LDLR_39,88.71122994652407,224.49302884533068,-47.07056895228254,1
405,19-11224562-11224831-PGD139_LDLR_38,90.27272727272727,204.18866410648042,-23.64320956102587,3
383,19-11215943-11216213-PGD139_LDLR_16,112.59893048128342,153.86619986370852,71.33166109885832,55
695,4-68447055-68447281-PGD139_STAP1_10,165.98930481283423,233.6389364324633,98.33967319320514,71
1,1-25870279-25870528-PGD139_LDLRAP1_3,177.6898395721925,367.42479963151766,-12.045120487132635,5
49,1-25878491-25878719-PGD139_LDLRAP1_51,384.8288770053476,505.1962826659584,264.46147134473676,178
197,1-55512263-55512530-PGD139_PCSK9_45,441.9732620320856,760.834504187048,123.11201987712315,36
0,1-25870150-25870363-PGD139_LDLRAP1_2,443.2245989304813,871.60028990783,14.848907953132652,22
707,8-19796992-19797244-PGD139_LPL_2,487.5561497326203,991.1282107669488,-16.015911301708172,7
7,1-25871301-25871569-PGD139_LDLRAP1_9,525.4598930481284,973.1023783043936,77.81740779186316,12
99,1-25886625-25886888-PGD139_LDLRAP1_101,634.5133689839572,970.5780298313673,298.44870813654717,148
186,1-55510323-55510559-PGD139_PCSK9_34,685.6524064171123,1025.8524236876963,345.4523891465283,393
155,1-55505425-55505694-PGD139_PCSK9_3,709.4812834224599,1383.242906251838,35.719660593081926,44
140,1-25893346-25893607-PGD139_LDLRAP1_142,747.1604278074866,1107.5399525789876,386.7809030359857,338
355,16-57011833-57012082-PGD139_CETP_24,761.1069518716578,979.0843533324103,543.1295504109053,492
404,19-11224488-11224593-PGD139_LDLR_37,834.9572192513369,1541.1728440918691,128.74159441080462,241
680,2-21265815-21266065-PGD139_APOB_233,851.2513368983957,1193.3657360247503,509.1369377720412,114
427,19-11239932-11240122-PGD139_LDLR_60,863.1283422459893,1504.9324010426544,221.3242834493243,194
3,1-25870632-25870906-PGD139_LDLRAP1_5,863.7860962566845,1878.0024359686392,-150.43024345527033,10
251,1-55521790-55522023-PGD139_PCSK9_99,948.8021390374331,1779.1632948087383,118.44098326612789,77
685,2-21266802-21267053-PGD139_APOB_238,949.187165775401,1428.7858431928844,469.58848835791775,93
642,2-21259379-21259613-PGD139_APOB_195,950.1122994652407,1462.3577178331857,437.8668810972955,306
114,1-25889066-25889302-PGD139_LDLRAP1_116,957.8021390374331,1337.7697007299926,577.8345773448738,595
252,1-55521962-55522231-PGD139_PCSK9_100,1007.4010695187166,1833.3281266195927,181.47401241784053,104
284,1-55527115-55527380-PGD139_PCSK9_132,1023.4438502673797,1831.5889474335486,215.298753101211,98
400,19-11223811-11224085-PGD139_LDLR_33,1129.7005347593583,1838.5616420725016,420.83942744621504,110
297,1-55529263-55529520-PGD139_PCSK9_145,1152.042780748663,1987.9579852993465,316.1275761979796,124
218,1-55515861-55516135-PGD139_PCSK9_66,1157.9197860962568,2036.8262645002228,279.0133076922908,574
447,19-45412386-45412652-PGD139_APOE_14,1165.8181818181818,2050.272351849411,281.3640117869527,94
401,19-11224038-11224313-PGD139_LDLR_34,1253.6791443850268,1893.795006690868,613.5632820791857,170
578,2-21247287-21247538-PGD139_APOB_131,1317.4705882352941,1845.5499767813826,789.3911996892058,606
237,1-55518973-55519154-PGD139_PCSK9_85,1400.4491978609626,2282.4511029546024,518.4472927673227,363
418,19-11233532-11233801-PGD139_LDLR_51,1407.2941176470588,2556.852787741752,257.7354475523655,73
82,1-25883719-25883973-PGD139_LDLRAP1_84,1443.48128342246,2389.046468957863,497.9160978870566,161
443,19-45411590-45411856-PGD139_APOE_10,1624.5935828877004,2697.030994774773,552.1561710006281,306
117,1-25889481-25889748-PGD139_LDLRAP1_119,1626.2085561497327,2560.6965922411896,691.7205200582757,173
398,19-11222280-11222545-PGD139_LDLR_31,1703.283422459893,2960.4076537406863,446.15919117909993,70
50,1-25878651-25878918-PGD139_LDLRAP1_52,1704.6524064171124,2388.5963519039556,1020.7084609302691,524
248,1-55521226-55521501-PGD139_PCSK9_96,1710.1336898395723,5375.331672309876,-1955.0642926307316,66
97,1-25886362-25886612-PGD139_LDLRAP1_99,1845.4171122994653,2906.4258782401735,784.4083463587572,313
444,19-45411799-45412073-PGD139_APOE_11,2046.374331550802,3840.480727244988,252.26793585661585,108
169,1-55507840-55508092-PGD139_PCSK9_17,2119.1176470588234,3101.5937969979664,1136.6414971196805,365
390,19-11217480-11217662-PGD139_LDLR_23,2125.385026737968,3740.1471969027134,510.62285657322263,346
632,2-21257703-21257953-PGD139_APOB_185,2208.775401069519,3743.1412612330505,674.4095409059871,681
410,19-11227304-11227578-PGD139_LDLR_43,2252.8288770053477,3996.0403030195093,509.61745099118616,133
403,19-11224376-11224548-PGD139_LDLR_36,2259.3689839572194,3334.227729766714,1184.5102381477245,1078
318,10-90984960-90985208-PGD139_LIPA_15,2262.609625668449,3058.071681192112,1467.1475701447862,886
213,1-55515056-55515304-PGD139_PCSK9_61,2286.331550802139,3085.205374311993,1487.4577272922852,441
654,2-21261706-21261981-PGD139_APOB_207,2390.903743315508,3654.8047557333957,1127.0027308976207,320
369,19-11200062-11200334-PGD139_LDLR_2,2397.6737967914437,3788.1584891215653,1007.1891044613219,437
274,1-55525560-55525805-PGD139_PCSK9_122,2436.7165775401068,3201.3629007118016,1672.070254368412,1392
564,2-21244982-21245253-PGD139_APOB_117,2480.005347593583,3338.707857130499,1621.3028380566666,685
382,19-11215850-11216119-PGD139_LDLR_15,2480.7914438502676,3374.977381867974,1586.605505832561,871
113,1-25888877-25889139-PGD139_LDLRAP1_115,2487.005347593583,3639.4612851708252,1334.5494100163403,260
668,2-21263874-21264146-PGD139_APOB_221,2491.903743315508,3537.6418246639682,1446.165661967048,744
177,1-55509017-55509264-PGD139_PCSK9_25,2508.042780748663,3370.2045755307136,1645.8809859666126,946
614,2-21254565-21254822-PGD139_APOB_167,2508.812834224599,3348.721360339684,1668.9043081095142,1142
109,1-25888299-25888538-PGD139_LDLRAP1_111,2520.48128342246,3239.244149554963,1801.718417289957,988
665,2-21263366-21263638-PGD139_APOB_218,2577.951871657754,3754.3867499841754,1401.5169933313327,529
638,2-21258761-21259008-PGD139_APOB_191,2581.663101604278,3298.732972307957,1864.5932309005989,1585
101,1-25887029-25887295-PGD139_LDLRAP1_103,2622.3529411764707,3627.754254148809,1616.9516282041322,229
552,2-21242885-21243135-PGD139_APOB_105,2627.6470588235293,3367.06642861822,1888.2276890288385,1621
299,1-55529641-55529893-PGD139_PCSK9_147,2644.609625668449,3901.684113865034,1387.5351374718643,399
347,16-57005904-57006009-PGD139_CETP_16,2729.9304812834225,4727.475749567531,732.3852129993143,1003
8,1-25871500-25871765-PGD139_LDLRAP1_10,2770.9786096256685,4218.980911014252,1322.976308237085,203
436,19-45409067-45409337-PGD139_APOE_3,2775.1497326203207,4479.763344484429,1070.5361207562123,262
425,19-11238635-11238868-PGD139_LDLR_58,2775.470588235294,4298.828668466994,1252.1125080035943,850
658,2-21262349-21262589-PGD139_APOB_211,2777.994652406417,3459.893629483492,2096.095675329342,1389
81,1-25883660-25883873-PGD139_LDLRAP1_83,2827.7860962566847,3690.531694063138,1965.0404984502316,2000
157,1-55505828-55506103-PGD139_PCSK9_5,2834.4064171122996,4753.312070249224,915.5007639753746,339
317,10-90984788-90985037-PGD139_LIPA_14,2885.9304812834225,3628.030438267694,2143.830524299151,1823
236,1-55518796-55519004-PGD139_PCSK9_84,2948.8449197860964,4512.634764195138,1385.0550753770544,1516
